dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,Driver,LapNumber
0.0,2.6444373,0.0,1.8088373,5.035676,0.67220575,1.1038777,3.3196373,2.5086637,4.1325154,0.0,2.319153,2.086286,0.0,0.28161728,0.0,0.0,0.37944332,0.0,3.92809,1.4391303,1.847498,2.1647358,3.2457373,0.0,0.0,0.0,0.0,3.165287,3.9426188,3.858855,0.6849416,ALO,12.0
0.0,2.2457235,0.0,2.4393873,4.7684402,0.18774001,1.0685035,3.0335155,2.2344372,3.9385116,0.5296436,1.6479435,2.218538,0.0,0.4525434,0.0,0.0,0.23488496,0.0,4.284096,1.9023235,2.5480626,1.6882114,4.3450956,0.0,0.0,0.16464816,0.0,3.7278924,3.5211008,4.5633154,0.912946,ALO,13.0
0.0,2.6472852,0.0,2.5898194,5.543515,0.34191644,1.1109368,3.433739,2.4144957,4.6128564,0.2299255,1.7659438,2.6341732,0.0,0.19171038,0.0,0.0,0.28128967,0.0,4.7614393,2.0332017,2.6939712,1.9216996,4.7215514,0.0,0.0,0.0,0.0,4.075635,4.0610795,5.0577316,0.8552474,ALO,14.0
0.0,2.775597,0.0,1.7826356,5.133117,0.56228775,1.5337977,3.6995106,1.9545646,4.179192,0.0,1.7232053,2.90988,0.0,0.0,0.0,0.0,0.0,0.0,4.481515,1.1696467,2.4870439,1.7753611,4.0459,0.0,0.0,0.0,0.0,3.6811209,3.753893,4.6815743,0.16261165,ALO,16.0
0.0,2.505581,0.0,1.6368685,4.7033267,0.4381639,1.8587475,3.7648592,1.8087909,3.8226845,0.0,2.0334427,2.9441147,0.0,0.018308707,0.0,0.0,0.1602565,0.0,4.0272818,1.1207591,2.2902205,2.1669424,3.4823472,0.0,0.0,0.0,0.0,3.2643826,3.5507126,4.160319,0.11426426,ALO,17.0
0.0,2.7989905,0.0,1.70966,4.9525666,0.50250536,1.8415691,3.8643544,1.893589,3.9954028,0.0,1.9961625,3.0059423,0.0,0.0,0.0,0.0,0.0,0.0,4.503746,1.1706318,2.6392236,2.2338998,3.7636693,0.0,0.0,0.0,0.0,3.6069145,3.6313517,4.458793,0.010192776,ALO,18.0
0.0,2.6533086,0.0,1.7397436,4.701944,0.4128306,2.0520349,3.9583352,1.7567607,3.757116,0.08862621,1.9572991,3.1212368,0.0,0.0,0.0,0.0,0.0,0.0,4.476966,1.1192337,2.7753818,2.172837,3.8237934,0.0,0.0,0.0,0.0,3.6256082,3.4332228,4.4859567,0.009138998,ALO,19.0
0.0,2.7998757,0.0,1.6182387,4.856617,0.4960647,2.0660555,4.0389204,1.7921524,3.8711789,0.0,2.037411,3.1564603,0.0,0.0,0.0,0.0,0.0,0.0,4.532135,1.0005037,2.7226021,2.2152367,3.7281501,0.0,0.0,0.0,0.0,3.6237676,3.5527442,4.494244,0.0,ALO,20.0
0.0,2.60634,0.0,1.9592551,4.874261,0.38172868,1.7248273,3.7104025,1.9153752,3.9253495,0.13893335,1.8350179,2.9060218,0.0,0.0,0.0,0.0,0.0,0.0,4.4924498,1.3328526,2.7009454,2.0246267,4.0423503,0.0,0.0,0.0,0.0,3.709503,3.530706,4.584372,0.2576053,ALO,21.0
0.0,2.6336503,0.0,1.7054747,4.7921195,0.4557568,1.8211209,3.7522016,1.7711737,3.855724,0.0,1.8408185,2.9679742,0.0,0.0,0.0,0.0,0.0,0.0,4.3437805,1.0977457,2.5598962,2.0528266,3.7453551,0.0,0.0,0.0,0.0,3.515754,3.458487,4.3854723,0.059520748,ALO,22.0
